customer_id,first_name,last_name,email,city,signup_date
1,Customer1,Last1,customer1@example.com,Chennai,2025-04-23
2,Customer2,Last2,customer2@example.com,Mumbai,2024-05-23
3,Customer3,Last3,customer3@example.com,Pune,2024-09-06
4,Customer4,Last4,customer4@example.com,Pune,2025-05-12
5,Customer5,Last5,customer5@example.com,Chennai,2022-11-17
6,Customer6,Last6,customer6@example.com,Mumbai,2022-08-16
7,Customer7,Last7,customer7@example.com,Bangalore,2025-10-03
8,Customer8,Last8,customer8@example.com,Mumbai,2025-05-30
9,Customer9,Last9,customer9@example.com,Pune,2024-08-18
10,Customer10,Last10,customer10@example.com,Hyderabad,2022-07-24
11,Customer11,Last11,customer11@example.com,Mumbai,2022-10-15
12,Customer12,Last12,customer12@example.com,Pune,2021-12-02
13,Customer13,Last13,customer13@example.com,Chennai,2022-01-01
14,Customer14,Last14,customer14@example.com,Hyderabad,2023-08-01
15,Customer15,Last15,customer15@example.com,Pune,2023-06-02
16,Customer16,Last16,customer16@example.com,Hyderabad,2024-05-17
17,Customer17,Last17,customer17@example.com,Kolkata,2025-11-24
18,Customer18,Last18,customer18@example.com,Kolkata,2025-01-15
19,Customer19,Last19,customer19@example.com,Chennai,2023-07-26
20,Customer20,Last20,customer20@example.com,Delhi,2024-05-17
21,Customer21,Last21,customer21@example.com,Pune,2024-09-23
22,Customer22,Last22,customer22@example.com,Kolkata,2024-01-18
23,Customer23,Last23,customer23@example.com,Mumbai,2025-06-01
24,Customer24,Last24,customer24@example.com,Bangalore,2025-05-23
25,Customer25,Last25,customer25@example.com,Delhi,2024-01-03
26,Customer26,Last26,customer26@example.com,Hyderabad,2024-06-14
27,Customer27,Last27,customer27@example.com,Kolkata,2025-09-10
28,Customer28,Last28,customer28@example.com,Chennai,2023-05-12
29,Customer29,Last29,customer29@example.com,Hyderabad,2025-03-27
30,Customer30,Last30,customer30@example.com,Bangalore,2025-06-29
31,Customer31,Last31,customer31@example.com,Hyderabad,2024-04-16
32,Customer32,Last32,customer32@example.com,Kolkata,2022-05-30
33,Customer33,Last33,customer33@example.com,Hyderabad,2023-11-28
34,Customer34,Last34,customer34@example.com,Hyderabad,2024-11-09
35,Customer35,Last35,customer35@example.com,Chennai,2025-07-18
36,Customer36,Last36,customer36@example.com,Mumbai,2022-03-24
37,Customer37,Last37,customer37@example.com,Pune,2024-04-24
38,Customer38,Last38,customer38@example.com,Mumbai,2024-08-18
39,Customer39,Last39,customer39@example.com,Kolkata,2025-05-15
40,Customer40,Last40,customer40@example.com,Bangalore,2024-05-17
